epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1048,2.42159,5.33614,3.02687,0.04449,0.04677,0.03044,0.00747,2.93877,4.05815,3.60064,0.00032,0.00032,0.06832
2,111.03,2.21847,3.9659,2.69064,0.61447,0.18241,0.19837,0.06874,2.60949,2.82442,3.07545,0.00063713,0.00063713,0.0356371
3,168.603,1.95628,3.08407,2.36109,0.5812,0.32255,0.34942,0.13017,2.42657,2.56781,2.83919,0.000941192,0.000941192,0.00294119
4,225.552,1.77526,2.7714,2.16553,0.52717,0.40882,0.40451,0.15491,2.35352,2.13656,2.7857,0.0009406,0.0009406,0.0009406
5,282.16,1.69382,2.47059,2.11543,0.58474,0.43628,0.48626,0.19515,2.21882,1.91874,2.67783,0.0009208,0.0009208,0.0009208
6,339.337,1.5329,2.27443,1.98672,0.64452,0.49706,0.56023,0.22223,2.15495,1.74951,2.60985,0.000901,0.000901,0.000901
7,395.949,1.49215,2.14038,1.97945,0.64333,0.48536,0.54378,0.22778,2.07889,1.71665,2.51718,0.0008812,0.0008812,0.0008812
8,453.457,1.43093,2.0026,1.92915,0.70649,0.52407,0.57879,0.2503,2.03246,1.56992,2.50218,0.0008614,0.0008614,0.0008614
9,509.578,1.39683,1.90941,1.86096,0.58822,0.57327,0.59127,0.26104,2.00456,1.4958,2.48255,0.0008416,0.0008416,0.0008416
10,565.886,1.35487,1.82496,1.84105,0.65165,0.56887,0.62837,0.29755,1.897,1.38915,2.41044,0.0008218,0.0008218,0.0008218
11,623.115,1.29878,1.70318,1.79937,0.65778,0.6115,0.64532,0.31654,1.85593,1.34807,2.37669,0.000802,0.000802,0.000802
12,679.354,1.2689,1.65601,1.77971,0.64286,0.67409,0.69626,0.34468,1.75952,1.30062,2.29203,0.0007822,0.0007822,0.0007822
13,735.408,1.21995,1.61647,1.75743,0.68814,0.68957,0.71981,0.36372,1.714,1.23097,2.25298,0.0007624,0.0007624,0.0007624
14,792.59,1.20086,1.56026,1.71334,0.74027,0.66,0.73884,0.36841,1.74044,1.15357,2.29434,0.0007426,0.0007426,0.0007426
15,849.067,1.17136,1.49389,1.69838,0.71471,0.7135,0.73973,0.37893,1.69846,1.16239,2.26128,0.0007228,0.0007228,0.0007228
16,906.339,1.1339,1.41944,1.67558,0.78064,0.69577,0.75524,0.39861,1.67806,1.1153,2.2213,0.000703,0.000703,0.000703
17,962.768,1.08278,1.36418,1.61864,0.76856,0.69563,0.75851,0.39949,1.65409,1.09512,2.21405,0.0006832,0.0006832,0.0006832
18,1019.48,1.1037,1.36215,1.63165,0.78061,0.6984,0.75962,0.41441,1.63107,1.06858,2.22428,0.0006634,0.0006634,0.0006634
19,1076.67,1.05576,1.30945,1.57984,0.75708,0.77759,0.78981,0.42704,1.62156,1.04361,2.2197,0.0006436,0.0006436,0.0006436
20,1132.75,1.04449,1.29028,1.58482,0.82122,0.73116,0.80026,0.42723,1.58305,1.00474,2.21446,0.0006238,0.0006238,0.0006238
21,1188.78,1.04233,1.29738,1.58736,0.81073,0.73008,0.80229,0.43467,1.55133,0.98317,2.19793,0.000604,0.000604,0.000604
22,1246.44,1.01838,1.24796,1.54084,0.82769,0.747,0.82165,0.44373,1.53018,0.95238,2.1911,0.0005842,0.0005842,0.0005842
23,1306.23,0.97995,1.21007,1.54316,0.86304,0.71599,0.81235,0.45491,1.51418,0.93231,2.18183,0.0005644,0.0005644,0.0005644
24,1362.83,0.9724,1.17926,1.51897,0.81492,0.76284,0.80919,0.44763,1.53518,0.92726,2.20212,0.0005446,0.0005446,0.0005446
25,1418.94,0.96425,1.16858,1.52674,0.83496,0.76081,0.81763,0.45436,1.51722,0.94565,2.20807,0.0005248,0.0005248,0.0005248
26,1474.96,0.94441,1.11048,1.4938,0.85729,0.78102,0.83559,0.46078,1.49393,0.89988,2.19239,0.000505,0.000505,0.000505
27,1531.72,0.96739,1.17483,1.52628,0.85058,0.77408,0.82896,0.47197,1.49166,0.87078,2.19783,0.0004852,0.0004852,0.0004852
28,1588.7,0.91858,1.11206,1.4797,0.79916,0.81719,0.82594,0.47094,1.49098,0.86767,2.2056,0.0004654,0.0004654,0.0004654
29,1644.38,0.89866,1.10994,1.47374,0.8486,0.79854,0.83142,0.47645,1.45952,0.86385,2.18011,0.0004456,0.0004456,0.0004456
30,1701.72,0.90804,1.11443,1.47876,0.82131,0.81466,0.83531,0.4764,1.44262,0.86268,2.16587,0.0004258,0.0004258,0.0004258
31,1757.43,0.89952,1.08313,1.46565,0.85704,0.77528,0.83366,0.48874,1.42601,0.84128,2.19332,0.000406,0.000406,0.000406
32,1813.9,0.88922,1.07362,1.45221,0.83498,0.81797,0.84635,0.49275,1.42265,0.81404,2.17144,0.0003862,0.0003862,0.0003862
33,1870.53,0.8594,1.0258,1.43474,0.8869,0.79303,0.85083,0.49705,1.41105,0.81313,2.19586,0.0003664,0.0003664,0.0003664
34,1926.68,0.82354,0.98375,1.41414,0.89502,0.79791,0.8486,0.50174,1.40042,0.79271,2.20259,0.0003466,0.0003466,0.0003466
35,1983.91,0.86064,1.00698,1.43851,0.86929,0.78707,0.84223,0.49988,1.38691,0.78699,2.16945,0.0003268,0.0003268,0.0003268
36,2039.56,0.85539,1.03472,1.42344,0.88665,0.79927,0.84472,0.50088,1.38779,0.7787,2.1885,0.000307,0.000307,0.000307
37,2095.43,0.85226,1.03436,1.42505,0.8948,0.78711,0.84497,0.49975,1.39521,0.77393,2.18891,0.0002872,0.0002872,0.0002872
38,2152.28,0.81944,0.97055,1.3986,0.84926,0.82041,0.84554,0.49597,1.40051,0.77601,2.18573,0.0002674,0.0002674,0.0002674
39,2208.02,0.82902,0.98535,1.4027,0.87975,0.80793,0.85024,0.50311,1.38413,0.76774,2.16967,0.0002476,0.0002476,0.0002476
40,2264.91,0.81394,0.96153,1.39463,0.90215,0.79026,0.84782,0.50437,1.35943,0.74572,2.15935,0.0002278,0.0002278,0.0002278
41,2324.13,0.79288,0.959,1.40795,0.88078,0.82149,0.85756,0.5002,1.37161,0.78432,2.14511,0.000208,0.000208,0.000208
42,2379.29,0.71267,0.8762,1.33814,0.88095,0.82068,0.8593,0.50806,1.37074,0.79383,2.21777,0.0001882,0.0001882,0.0001882
43,2435.7,0.69218,0.87456,1.33422,0.88397,0.82769,0.86312,0.51029,1.37683,0.79205,2.22774,0.0001684,0.0001684,0.0001684
44,2491.74,0.66699,0.81834,1.31088,0.89147,0.8286,0.85739,0.50664,1.37085,0.76911,2.20996,0.0001486,0.0001486,0.0001486
45,2547.42,0.65116,0.81045,1.29055,0.90254,0.82215,0.86298,0.51007,1.36035,0.7625,2.22424,0.0001288,0.0001288,0.0001288
46,2603.23,0.65465,0.81336,1.29728,0.89777,0.84085,0.86548,0.51676,1.3481,0.74222,2.21743,0.000109,0.000109,0.000109
47,2659.43,0.63132,0.76683,1.27748,0.90054,0.84235,0.8605,0.52199,1.34417,0.74244,2.2255,8.92e-05,8.92e-05,8.92e-05
48,2716.28,0.62645,0.77083,1.27055,0.89425,0.84632,0.85664,0.51863,1.34013,0.73098,2.2218,6.94e-05,6.94e-05,6.94e-05
49,2771.19,0.6222,0.75059,1.26165,0.89373,0.83063,0.85168,0.51287,1.34497,0.73361,2.22351,4.96e-05,4.96e-05,4.96e-05
