epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.908,1.91617,4.06691,2.22824,0.0028,0.1932,0.00547,0.00213,2.77776,3.83192,3.90497,0.00032,0.00032,0.06832
2,41.6716,1.80402,3.66368,2.11827,0.54201,0.04966,0.04143,0.01342,2.38534,3.70666,3.20653,0.00063713,0.00063713,0.0356371
3,60.7303,1.75683,3.40463,2.11147,0.33018,0.17463,0.07921,0.02898,2.42055,4.76554,3.39465,0.000941192,0.000941192,0.00294119
4,81.1992,1.78358,3.26944,2.11281,0.17667,0.19367,0.07331,0.02813,2.50649,5.8768,3.42984,0.0009406,0.0009406,0.0009406
5,99.4432,1.74461,3.20622,2.07275,0.39266,0.17472,0.13527,0.05361,2.3804,4.18803,3.04512,0.0009208,0.0009208,0.0009208
6,118.609,1.66104,3.09686,2.00682,0.29262,0.22394,0.12245,0.04838,2.44453,4.11082,3.06719,0.000901,0.000901,0.000901
7,137.088,1.6414,3.00862,2.01737,0.32868,0.26067,0.22029,0.09111,2.26081,3.76024,2.93923,0.0008812,0.0008812,0.0008812
8,156.566,1.62742,2.9787,2.01006,0.3219,0.28522,0.22381,0.09165,2.22297,3.22766,2.89614,0.0008614,0.0008614,0.0008614
9,175.201,1.64956,2.93471,2.00128,0.38029,0.30574,0.27241,0.11789,2.13452,2.7094,2.76752,0.0008416,0.0008416,0.0008416
10,193.929,1.57061,2.80494,1.9646,0.32973,0.30021,0.24685,0.10357,2.20936,2.81222,2.78593,0.0008218,0.0008218,0.0008218
11,212.098,1.54477,2.6982,1.95484,0.25688,0.35122,0.26928,0.12355,2.1799,2.70058,2.74142,0.000802,0.000802,0.000802
12,231.057,1.52431,2.71844,1.93677,0.40885,0.31585,0.31484,0.1469,2.05414,2.85631,2.66901,0.0007822,0.0007822,0.0007822
13,250.059,1.50584,2.6745,1.90497,0.45265,0.32086,0.31225,0.14244,2.13752,2.5872,2.79,0.0007624,0.0007624,0.0007624
14,267.874,1.48569,2.57604,1.8709,0.4353,0.35513,0.36055,0.15326,2.0462,2.43142,2.73204,0.0007426,0.0007426,0.0007426
15,286.786,1.45703,2.54563,1.88645,0.39486,0.38364,0.35633,0.16375,2.14487,2.43062,2.85025,0.0007228,0.0007228,0.0007228
16,305.749,1.44788,2.49343,1.86883,0.4769,0.43019,0.44998,0.20989,1.94516,2.34347,2.68104,0.000703,0.000703,0.000703
17,324.806,1.41604,2.37355,1.83922,0.46966,0.42569,0.44378,0.20077,1.95978,2.29257,2.64418,0.0006832,0.0006832,0.0006832
18,343.425,1.40498,2.41705,1.81879,0.45406,0.45186,0.42824,0.19924,2.00369,2.18386,2.71966,0.0006634,0.0006634,0.0006634
19,361.693,1.37024,2.28061,1.78787,0.48952,0.50409,0.46826,0.21293,1.96147,2.07482,2.64556,0.0006436,0.0006436,0.0006436
20,380.559,1.36422,2.30089,1.78415,0.49274,0.46244,0.44284,0.20963,1.94258,2.13372,2.6362,0.0006238,0.0006238,0.0006238
21,398.732,1.34981,2.30138,1.79762,0.56071,0.48322,0.50863,0.2556,1.91262,1.981,2.59835,0.000604,0.000604,0.000604
22,417.925,1.36185,2.17354,1.76356,0.50224,0.55279,0.52121,0.25951,1.86978,1.96408,2.56543,0.0005842,0.0005842,0.0005842
23,436.468,1.32149,2.19878,1.74957,0.55695,0.51982,0.523,0.2629,1.82085,1.9176,2.5476,0.0005644,0.0005644,0.0005644
24,455.274,1.31953,2.13488,1.73682,0.64603,0.47286,0.54109,0.2655,1.83816,1.9216,2.56345,0.0005446,0.0005446,0.0005446
25,473.786,1.2929,2.14195,1.74483,0.62096,0.52231,0.55681,0.28488,1.81804,1.86205,2.52801,0.0005248,0.0005248,0.0005248
26,492.317,1.2709,2.02399,1.70433,0.60277,0.50986,0.5667,0.2962,1.79868,1.87484,2.52635,0.000505,0.000505,0.000505
