epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8748,2.6862,8.48599,3.27511,0.04396,0.04133,0.0024,0.00065,3.28931,6.43803,4.16659,0.00032,0.00032,0.06832
2,74.5918,2.49381,4.67549,2.99612,0.19193,0.0816,0.05647,0.01613,2.83647,3.62837,3.54036,0.00063713,0.00063713,0.0356371
3,109.418,2.21017,3.57362,2.63648,0.63998,0.21465,0.19926,0.07077,2.6215,2.99627,3.24288,0.000941192,0.000941192,0.00294119
4,143.72,1.97872,3.09436,2.35353,0.54764,0.27634,0.27863,0.09499,2.61894,2.59642,3.08384,0.0009406,0.0009406,0.0009406
5,178.227,1.89375,2.70893,2.29121,0.57447,0.33318,0.3696,0.12389,2.45356,2.29885,2.92098,0.0009208,0.0009208,0.0009208
6,213.36,1.74339,2.51564,2.15176,0.50323,0.4211,0.43597,0.16875,2.29449,2.11375,2.74539,0.000901,0.000901,0.000901
7,248.314,1.69385,2.33144,2.1428,0.58355,0.43597,0.46999,0.18684,2.23913,1.96278,2.67844,0.0008812,0.0008812,0.0008812
8,283.594,1.60655,2.20281,2.07452,0.52238,0.49398,0.50498,0.2022,2.21081,1.8953,2.61038,0.0008614,0.0008614,0.0008614
9,317.207,1.55652,2.07033,1.98745,0.63839,0.49099,0.54065,0.22487,2.13913,1.79274,2.59239,0.0008416,0.0008416,0.0008416
10,351.477,1.53494,1.99135,1.98298,0.61456,0.51502,0.53862,0.22948,2.10331,1.73148,2.57765,0.0008218,0.0008218,0.0008218
11,386.226,1.48037,1.88123,1.94654,0.60183,0.5256,0.55197,0.24421,2.03852,1.63953,2.50056,0.000802,0.000802,0.000802
12,420.696,1.44458,1.8567,1.92288,0.69337,0.54587,0.63591,0.29673,1.93144,1.50685,2.40107,0.0007822,0.0007822,0.0007822
13,454.656,1.40899,1.8182,1.89892,0.6646,0.5879,0.65947,0.30575,1.9208,1.4713,2.45822,0.0007624,0.0007624,0.0007624
14,487.851,1.39163,1.75085,1.86352,0.68371,0.6082,0.65597,0.30941,1.90614,1.43224,2.44558,0.0007426,0.0007426,0.0007426
15,521.359,1.36835,1.69261,1.84928,0.63135,0.66508,0.67317,0.33346,1.82499,1.42359,2.37604,0.0007228,0.0007228,0.0007228
16,554.878,1.30601,1.61379,1.80992,0.65573,0.65455,0.70205,0.34716,1.87044,1.36337,2.41848,0.000703,0.000703,0.000703
17,589.391,1.26906,1.56812,1.76847,0.66085,0.66719,0.69028,0.33997,1.84925,1.327,2.43084,0.0006832,0.0006832,0.0006832
